word,count
I'd,5
covered,2
week,3
son,4
shoes,2
added,3
FB,4
next,9
spoke,4
playlist,2
Your,5
rocky,3
Calls,2
shit,14
phone,5
cant,2
reaction,2
those,4
perfect,5
baby,2
drives,2
MVP,2
roster,2
somehow,2
must,5
In,6
media,3
thru,2
Happy,10
As,7
land,3
seen,17
second,4
mad,2
try,6
call,7
dinner,3
Maybe,4
war,2
cuz,2
bout,3
Nah,3
back,18
body,4
probably,3
stan,2
another,2
there's,3
Snapchat,2
Think,1
positively,1
Suicidal,1
inspired,1
recorded,1
Hi,1
13,1
Bitmoji,1
deep,1
buzzwords,1
ralphy,1
henny,1
yuh,1
b,1
ASAP,1
otherwise,1
League,1
clothes,1
pregnant,1
impeached,1
Dudes,1
Trump-Russia,1
COVERING,1
ENTIRE,1
blessing!,1
lies,1
donna,2
Conference,1
JOKE!!!,1
fast,1
moving,1
quiet,1
residential,1
street/protected,1
Pets,1
Wanna,1
prayer,1
remembering,1
Snr's,1
Father,1
thicthic,1
volatile,1
YORK,1
MILLY,1
profit,1
loose,1
Haley,1
Whoever,1
raise,1
Belle,1
Tire,1
marketing,1
i'd,1
Letang,1
From,5
nutshot,1
finger,1
How,9
slash,2
punishment,3
Suicide,1
Heaven,1
Returned,1
hate!!,1
Incredible,1
Gift!,1
HOFer,1
Water,1
pitch,1
innings,1
lissy12451,1
Astros,1
limit,1
weather,1
Oakland,1
Angels,1
suicide,2
former,1
Jake,1
power,5
Noya,1
seem,3
infront,1
trippin,1
lunch,1
often,1
rape,1
wound,1
sideburns,1
Fam,1
rabbits,1
Smile,1
DEAD.....powder,1
Somehow,1
shine,1
me,94
mood,1
bbq,1
terrible,2
questions,1
playoff,4
Nikki,1
famous,1
reached,1
goal!,1
Definitely,1
d,1
commonly,1
killed,3
regrets,1
(2017,1
fresh,3
rookie,3
(2017)!,1
Taxpayer,2
town,2
prince,1
_________,1
cry,1
trump,1
68,1
Syrian,1
distraction,1
Fin!,1
evening's,1
biggest,2
fall,2
short,2
sad,3
disgusted,2
78,3
text,2
Trump,13
name,4
spent,3
ONCE,2
wow,2
gets,3
IN,5
realize,3
who's,2
Come,2
Feel,2
Get,9
wouldn't,3
eat,2
we're,2
kind,3
cat,2
lane,2
thinking,4
19,2
won't,3
Saw,2
i'm,8
left,7
bitches,3
bullshit,2
Is,9
hat,2
trick,2
n,4
Great,2
stuff,5
rest,4
happened,3
Z,3
officially,2
they,37
from,33
tracked,2
I'll,5
af,2
check,5
That,7
remember,8
make,19
open,3
like,44
present,1
dm-ing,1
tweets,1
friendship,1
Jacket,1
Condom,1
golfing,1
eye,1
concert,2
Missed,1
nyc,1
onto,1
tracks,1
collateral,1
damage,1
else's,1
~Lauren,1
Trust,1
Am,1
Away,1
Them,1
hurts,1
Bryce,2
Justin,2
non-sensical,1
reasoning,1
convertible,1
powers,1
Triple,1
valid,1
sent,1
card,1
Lying,1
Jokers,1
Noway,1
tyler,3
judge,1
weight,1
free!!,1
judged,1
abominable,1
Inc,1
Alex,1
lawyer,1
learn,2
temper,1
violations,1
Following,1
nuclear,1
above-normal,1
warmth,1
showers,1
gloss,1
church,1
Dubbed,1
NOW!!,1
praying,1
crackhead,1
petty,1
talkin,1
this!!,1
$500,1
hyperbole,1
situation,1
selca,1
Than,1
WOMEN,1
budding,1
president,1
transparency,1
lead,1
Digital,1
idea,1
PEEING,1
HIM,1
responding,1
drive,1
Depressed,1
Anxious,1
puddle,1
Calm,1
Anorexic,1
wasted,1
Hahahahahahha,1
maccies,1
dp,1
homework,1
kiddy,1
touched,1
opinions,1
Places,1
WHAT'S,1
Reasons,1
LONG,1
Stay,2
attempting,1
Naughty,1
MT,1
pussy,1
fellow,1
brothers/sisters,1
bf,1
cancer,1
answer,1
lose,1
bit,1
